Anio,Mes,Precio_leche
1979,Jan,3.85
1979,Feb,4.58
1979,Mar,5.18
1979,Apr,6.06
1979,May,7.25
1979,Jun,7.71
1979,Jul,8.10
1979,Aug,7.65
1979,Sep,6.96
1979,Oct,5.79
1979,Nov,5.29
1979,Dec,5.20
1980,Jan,5.41
1980,Feb,5.96
1980,Mar,6.41
1980,Apr,7.25
1980,May,8.80
1980,Jun,9.28
1980,Jul,9.48
1980,Aug,9.14
1980,Sep,8.28
1980,Oct,7.24
1980,Nov,6.38
1980,Dec,6.31
1981,Jan,6.57
1981,Feb,6.76
1981,Mar,7.31
1981,Apr,7.69
1981,May,8.65
1981,Jun,8.63
1981,Jul,8.56
1981,Aug,8.33
1981,Sep,7.13
1981,Oct,6.23
1981,Nov,5.64
1981,Dec,5.24
1982,Jan,5.47
1982,Feb,5.86
1982,Mar,6.40
1982,Apr,7.18
1982,May,8.13
1982,Jun,8.45
1982,Jul,8.84
1982,Aug,8.70
1982,Sep,8.28
1982,Oct,8.03
1982,Nov,8.21
1982,Dec,8.10
1983,Jan,8.23
1983,Feb,8.60
1983,Mar,9.26
1983,Apr,10.45
1983,May,11.70
1983,Jun,12.02
1983,Jul,12.37
1983,Aug,12.07
1983,Sep,11.41
1983,Oct,10.59
1983,Nov,9.86
1983,Dec,10.04
1984,Jan,10.95
1984,Feb,12.37
1984,Mar,15.56
1984,Apr,16.69
1984,May,18.72
1984,Jun,18.50
1984,Jul,19.10
1984,Aug,18.75
1984,Sep,16.92
1984,Oct,15.47
1984,Nov,14.71
1984,Dec,14.69
1985,Jan,14.84
1985,Feb,16.32
1985,Mar,19.32
1985,Apr,20.02
1985,May,22.45
1985,Jun,22.87
1985,Jul,23.06
1985,Aug,22.57
1985,Sep,19.53
1985,Oct,18.35
1985,Nov,15.93
1985,Dec,15.36
1986,Jan,15.75
1986,Feb,15.96
1986,Mar,18.96
1986,Apr,19.79
1986,May,24.81
1986,Jun,25.37
1986,Jul,26.03
1986,Aug,25.56
1986,Sep,23.43
1986,Oct,21.79
1986,Nov,19.07
1986,Dec,19.19
1987,Jan,20.04
1987,Feb,21.11
1987,Mar,25.88
1987,Apr,32.06
1987,May,33.73
1987,Jun,33.93
1987,Jul,34.14
1987,Aug,33.39
1987,Sep,30.78
1987,Oct,29.46
1987,Nov,28.80
1987,Dec,28.81
1988,Jan,29.21
1988,Feb,29.86
1988,Mar,33.97
1988,Apr,35.34
1988,May,40.6
1988,Jun,41.95
1988,Jul,42.65
1988,Aug,42.26
1988,Sep,41.32
1988,Oct,39.2
1988,Nov,38.8
1988,Dec,39.8
1989,Jan,42.85
1989,Feb,46.38
1989,Mar,47.94
1989,Apr,49.85
1989,May,53.05
1989,Jun,53.77
1989,Jul,54.42
1989,Aug,53.71
1989,Sep,51.15
1989,Oct,49.00
1989,Nov,47.51
1989,Dec,47.43
1990,Jan,47.62
1990,Feb,48.26
1990,Mar,51.99
1990,Apr,54.44
1990,May,56.94
1990,Jun,57.6
1990,Jul,58.27
1990,Aug,57.28
1990,Sep,53.56
1990,Oct,50.52
1990,Nov,48.56
1990,Dec,48.13
1991,Jan,50.65
1991,Feb,52.94
1991,Mar,58.83
1991,Apr,61.5
1991,May,66.08
1991,Jun,66.88
1991,Jul,66.97
1991,Aug,66.53
1991,Sep,61.68
1991,Oct,59.66
1991,Nov,58.36
1991,Dec,58.54
1992,Jan,61.69
1992,Feb,63.37
1992,Mar,68.98
1992,Apr,71.23
1992,May,78.49
1992,Jun,80.62
1992,Jul,81.81
1992,Aug,80.91
1992,Sep,79.5
1992,Oct,76.81
1992,Nov,76.16
1992,Dec,75.95
1993,Jan,76.04
1993,Feb,76.02
1993,Mar,78.1
1993,Apr,80.7
1993,May,87.1
1993,Jun,87.69
1993,Jul,88.02
1993,Aug,87.9
1993,Sep,86.74
1993,Oct,84.44
1993,Nov,82.63
1993,Dec,82.57
1994,Jan,82.71
1994,Feb,85.06
1994,Mar,87.45
1994,Apr,92.11
1994,May,97.06
1994,Jun,98.03
1994,Jul,97.84
1994,Aug,96.91
1994,Sep,94.37
1994,Oct,89.88
1994,Nov,86.96
1994,Dec,86.88
1995,Jan,86.94
1995,Feb,88.36
1995,Mar,91.27
1995,Apr,93.67
1995,May,95.63
1995,Jun,97.35
1995,Jul,98.12
1995,Aug,98.91
1995,Sep,95.81
1995,Oct,90.92
1995,Nov,88.26
1995,Dec,88.22
1996,Jan,90.77
1996,Feb,93.92
1996,Mar,97.31
1996,Apr,99.41
1996,May,104.06
1996,Jun,104.94
1996,Jul,105.23
1996,Aug,104.88
1996,Sep,100.29
1996,Oct,94.03
1996,Nov,90.93
1996,Dec,90.06
1997,Jan,90.87
1997,Feb,93.49
1997,Mar,95.68
1997,Apr,98.63
1997,May,102.27
1997,Jun,102.98
1997,Jul,102.44
1997,Aug,102.11
1997,Sep,97.03
1997,Oct,91.13
1997,Nov,88.3
1997,Dec,87.29
1998,Jan,88.76
1998,Feb,93.64
1998,Mar,95.92
1998,Apr,98.19
1998,May,101.87
1998,Jun,102.23
1998,Jul,103.08
1998,Aug,102.34
1998,Sep,97.69
1998,Oct,91.77
1998,Nov,88.26
1998,Dec,88.21
1999,Jan,90.7
1999,Feb,94.12
1999,Mar,96.8
1999,Apr,97.55
1999,May,101.7
